index,cs,rate,yl,setYL,nowArea,target,cnt
0,-20.000000,0%,-400,10,none,11,0
1,0.000000,0%,0,20,5,11,1
2,6.666667,0%,400,30,5,11,2
3,20.000000,0%,1600,40,4,11,1
4,0.000000,0%,0,50,4,11,2
5,-3.333333,0%,-400,60,5,11,1
6,-11.428572,0%,-1600,70,5,11,2
7,-10.000000,0%,-1600,80,5,11,3
8,-11.111111,0%,-2000,90,5,11,4
9,-10.000000,0%,-2000,100,5,11,5
10,-5.454545,0%,-1200,110,5,11,6
11,-6.666667,0%,-1600,120,5,11,7
12,-6.153846,0%,-1600,130,5,11,8
13,0.000000,0%,0,140,5,11,9
14,1.333333,0%,400,150,5,11,10
15,1.250000,0%,400,160,4,11,1
16,1.176471,0%,400,170,4,11,2
17,3.333333,0%,1200,180,4,11,3
18,2.105263,0%,800,190,4,11,4
19,3.000000,0%,1200,200,4,11,5
20,3.809524,0%,1600,210,4,11,6
21,1.818182,0%,800,220,4,11,7
22,2.608696,0%,1200,230,4,11,8
23,1.666667,0%,800,240,4,11,9
24,1.600000,0%,800,250,4,11,10
25,2.307692,0%,1200,260,4,11,11
26,2.222222,0%,1200,270,4,11,12
27,4.285714,0%,2400,280,4,11,13
28,2.068965,0%,1200,290,4,11,14
29,2.000000,0%,1200,300,4,11,15
30,1.290323,0%,800,310,4,11,16
31,1.250000,0%,800,320,4,11,17
32,0.606061,0%,400,330,4,11,18
33,0.000000,0%,0,340,4,11,19
34,-0.571429,0%,-400,350,5,11,1
35,-2.222222,0%,-1600,360,5,11,2
36,-2.702703,0%,-2000,370,5,11,3
37,-3.157895,0%,-2400,380,5,11,4
38,-3.589744,0%,-2800,390,5,11,5
39,-2.000000,0%,-1600,400,5,11,6
40,-1.951220,0%,-1600,410,5,11,7
41,-2.380952,0%,-2000,420,5,11,8
42,-2.325581,0%,-2000,430,5,11,9
43,-2.727273,0%,-2400,440,5,11,10
44,-2.222222,0%,-2000,450,5,11,11
45,-1.739130,0%,-1600,460,5,11,12
46,-2.553191,0%,-2400,470,5,11,13
47,-2.916667,0%,-2800,480,5,11,14
48,-2.040816,0%,-2000,490,5,11,15
49,-1.200000,0%,-1200,500,5,11,16
50,-1.176471,0%,-1200,510,5,11,17
51,-1.538462,0%,-1600,520,5,11,18
52,-1.886792,0%,-2000,530,5,11,19
53,-1.111111,0%,-1200,540,none,4,0
54,-1.454545,7%,-1600,550,5,4,1
55,-1.071429,9%,-1200,560,5,4,2
56,-1.052632,11%,-1200,570,5,4,3
57,-0.344828,13%,-400,580,5,4,4
58,-0.338983,15%,-400,590,5,4,5
59,0.333333,17%,400,600,5,4,6
60,0.000000,19%,0,610,5,4,7
61,-0.322581,21%,-400,620,5,4,8
62,-0.317460,23%,-400,630,5,4,9
63,-0.937500,25%,-1200,640,5,4,10
64,-1.538462,27%,-2000,650,5,4,11
65,-2.121212,29%,-2800,660,5,4,12
66,-2.089552,31%,-2800,670,5,4,13
